,disease,feature,therapy,text
13,Urothelial carcinoma,Rearrangement,Erdafitinib,"INDICATIONS AND USAGE---------------------------
BALVERSA is a kinase inhibitor indicated for the treatment of adult patients 
with locally advanced or metastatic urothelial carcinoma (mUC) with 
susceptible FGFR3 genetic alterations whose disease has progressed on or 
after at least one line of prior systemic therapy. 
Select patients for therapy based on an FDA-approved companion diagnostic 
for BALVERSA. (1, 2.1) 
Limitations of Use 
BALVERSA is not recommended for the treatment of patients who are 
eligible for and have not received prior PD-1 or PD-L1 inhibitor therapy. (1, 
14.1) 
------------------------"
14,Any solid tumor,Rearrangement,Larotrectinib,"INDICATIONS AND USAGE--------------------------- 
VITRAKVI is a kinase inhibitor indicated for the treatment of adult and 
pediatric patients with solid tumors that: 
• have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a 
known acquired resistance mutation,  
• are metastatic or where surgical resection is likely to result in severe 
morbidity, and  
• have no satisfactory alternative treatments or that have progressed 
following treatment. 
This indication is approved under accelerated approval based on overall 
response rate and duration of response. Continued approval for this indication 
may be contingent upon verification and description of clinical benefit in 
confirmatory trials (1,14). 
----------------------"
15,Any solid tumor,Rearrangement,Entrectinib,"INDICATIONS AND USAGE----------------------------
ROZLYTREK is a kinase inhibitor indicated for the treatment of: 
• Adult patients with ROS1-positive metastatic non-small cell lung cancer 
(NSCLC) as detected by an FDA-approved test. (1.1) 
• Adult and pediatric patients older than 1 month of age with solid tumors 
that: 
o have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion, as 
detected by an FDA-approved test without a known acquired resistance 
mutation, 
o are metastatic or where surgical resection is likely to result in severe 
morbidity, and 
o have progressed following treatment or have no satisfactory alternative 
therapy. 
This indication is approved under accelerated approval based on tumor 
response rate and durability of response. Continued approval for this 
indication may be contingent upon verification and description of clinical 
benefit in the confirmatory trials. (1.2) 
-----------------------"
23,Non-Small Cell Lung Cancer,Rearrangement,Selpercatinib,"INDICATIONS AND USAGE ---------------------------
RETEVMO® is a kinase inhibitor indicated for the treatment of: 
• Adult patients with locally advanced or metastatic non-small cell lung 
cancer (NSCLC) with a rearranged during transfection (RET) gene 
fusion, as detected by an FDA-approved test (1.1) 
• Adult and pediatric patients 12 years of age and older with advanced 
or metastatic medullary thyroid cancer (MTC) with a RET mutation, as 
detected by an FDA-approved test, who require systemic therapy1 
(1.2) 
• Adult and pediatric patients 12 years of age and older with advanced 
or metastatic thyroid cancer with a RET gene fusion, as detected by an 
FDA-approved test, who require systemic therapy and who are 
radioactive iodine-refractory (if radioactive iodine is appropriate)1 (1.3) 
• Adult patients with locally advanced or metastatic solid tumors with a 
RET gene fusion that have progressed on or following prior systemic 
treatment or who have no satisfactory alternative treatment options1 
(1.4) 
This indication is approved under accelerated approval based on overall 
response rate and duration of response. Continued approval for this 
indication may be contingent upon verification and description of clinical 
benefit in confirmatory trial(s). 
------------------------"
25,Non-Small Cell Lung Cancer,Rearrangement,Pralsetinib,"INDICATIONS AND USAGE 
GAVRETO is a kinase inhibitor indicated for treatment of: 
• Adult patients with metastatic rearranged during transfection (RET) 
fusion-positive non-small cell lung cancer as detected by an FDA 
approved test (NSCLC). (1.1) 
• Adult and pediatric patients 12 years of age and older with advanced or 
metastatic RET fusion-positive thyroid cancer who require systemic 
therapy and who are radioactive iodine-refractory (if radioactive iodine 
is appropriate). 
This indication is approved under accelerated approval based on overall 
response rate and duration of response. Continued approval for this 
indication may be contingent upon verification and description of 
clinical benefit in confirmatory trial(s). (1.2) 
_______________"
28,Prostate Cancer,Somatic Variant,Olaparib,"INDICATIONS AND USAGE  --------------------------  
Lynparza is a poly (ADP-ribose) polymerase (PARP) inhibitor indicated: 
Ovarian cancer 
• for the maintenance treatment of adult patients with deleterious or 
suspected deleterious germline or somatic BRCA-mutated advanced 
epithelial ovarian, fallopian tube or primary peritoneal cancer who are in 
complete or partial response to first-line platinum-based chemotherapy. 
Select patients for therapy based on an FDA-approved companion 
diagnostic for Lynparza. (1.1, 2.1) 
• in combination with bevacizumab for the maintenance treatment of adult 
patients with advanced epithelial ovarian, fallopian tube or primary 
peritoneal cancer who are in complete or partial response to first-line 
platinum-based chemotherapy and whose cancer is associated with 
homologous recombination deficiency (HRD)-positive status defined by 
either: 
• a deleterious or suspected deleterious BRCA mutation, and/or  
• genomic instability.  
Select patients for therapy based on an FDA-approved companion 
diagnostic for Lynparza (1.2, 2.1). 
• for the maintenance treatment of adult patients with recurrent epithelial 
ovarian, fallopian tube or primary peritoneal cancer, who are in 
complete or partial response to platinum-based chemotherapy. (1.3) 
Breast cancer 
• for the adjuvant treatment of adult patients with deleterious or suspected 
deleterious gBRCAm human epidermal growth factor receptor 2 
(HER2)-negative high risk early breast cancer who have been treated 
with neoadjuvant or adjuvant chemotherapy. Select patients for therapy 
based on an FDA-approved companion diagnostic for Lynparza. (1.4, 
2.1). 
• for the treatment of adult patients with deleterious or suspected 
deleterious gBRCAm, HER2-negative metastatic breast cancer who have 
been treated with chemotherapy in the neoadjuvant, adjuvant or 
metastatic setting. Patients with hormone receptor (HR)-positive breast 
cancer should have been treated with a prior endocrine therapy or be 
considered inappropriate for endocrine therapy. Select patients for 
therapy based on an FDA-approved companion diagnostic for Lynparza. 
(1.5, 2.1) 
Pancreatic cancer 
• for the maintenance treatment of adult patients with deleterious or 
suspected deleterious gBRCAm metastatic pancreatic adenocarcinoma 
whose disease has not progressed on at least 16 weeks of a first-line 
platinum-based chemotherapy regimen. Select patients for therapy based 
on an FDA-approved companion diagnostic for Lynparza. (1.6, 2.1) 
Prostate cancer 
• for the treatment of adult patients with deleterious or suspected 
deleterious germline or somatic homologous recombination repair 
(HRR) gene-mutated metastatic castration-resistant prostate cancer 
(mCRPC) who have progressed following prior treatment with 
enzalutamide or abiraterone. Select patients for therapy based on an 
FDA-approved companion diagnostic for Lynparza. (1.7, 2.1) 
• in combination with abiraterone and prednisone or prednisolone for the 
treatment of adult patients with deleterious or suspected deleterious 
BRCA-mutated (BRCAm) metastatic castration-resistant prostate cancer 
(mCRPC). Select patients for therapy based on an FDA-approved 
companion diagnostic for Lynparza. (1.8, 2.1) 
 ----------------------"
30,Melanoma,Somatic Variant,Dabrafenib,"INDICATIONS AND USAGE----------------------------
TAFINLAR is a kinase inhibitor indicated as a single agent for the treatment of 
patients with unresectable or metastatic melanoma with BRAF V600E 
mutation as detected by an FDA-approved test. (1.1, 2.1) 
TAFINLAR is indicated, in combination with trametinib, for: 
• the treatment of patients with unresectable or metastatic melanoma with 
BRAF V600E or V600K mutations as detected by an FDA-approved test. 
(1.2, 2.1) 
• the adjuvant treatment of patients with melanoma with BRAF V600E or 
V600K mutations, as detected by an FDA-approved test, and involvement 
of lymph node(s), following complete resection. (1.3, 2.1) 
• the treatment of patients with metastatic non-small cell lung cancer 
(NSCLC) with BRAF V600E mutation as detected by an FDA-approved 
test. (1.4, 2.1) 
• the treatment of patients with locally advanced or metastatic anaplastic 
thyroid cancer (ATC) with BRAF V600E mutation and with no 
satisfactory locoregional treatment options. (1.5, 2.1) 
• the treatment of adult and pediatric patients 6 years of age and older with 
unresectable or metastatic solid tumors with BRAF V600E mutation who 
have progressed following prior treatment and have no satisfactory 
alternative treatment options. This indication is approved under 
accelerated approval based on overall response rate and duration of 
response. Continued approval for this indication may be contingent upon 
verification and description of clinical benefit in a confirmatory trial(s). 
(1.6, 2.1) 
• the treatment of pediatric patients 1 year of age and older with low-grade 
glioma (LGG) with a BRAF V600E mutation who require systemic 
therapy. (1.7, 2.1) 
Limitations of Use: TAFINLAR is not indicated for treatment of patients with 
colorectal cancer because of known intrinsic resistance to BRAF inhibition 
(1.8, 12.1). TAFINLAR is not indicated for treatment of patients with wild-
type BRAF solid tumors. (5.2) 
-----------------------"
36,Melanoma,Somatic Variant,Trametinib,"INDICATIONS AND USAGE-------------------------
MEKINIST is a kinase inhibitor indicated as a single agent for the treatment 
of BRAF-inhibitor treatment-naïve patients with unresectable or metastatic 
melanoma with BRAF V600E or V600K mutations as detected by an FDA-
approved test. (1.1, 2.1) 
MEKINIST is indicated, in combination with dabrafenib, for: 
	 the treatment of patients with unresectable or metastatic melanoma with 
BRAF V600E or V600K mutations as detected by an FDA-approved 
test. (1.1, 2.1) 
	 the adjuvant treatment of patients with melanoma with BRAF V600E or 
V600K mutations, as detected by an FDA-approved test, and 
involvement of lymph node(s), following complete resection. (1.2, 2.1) 
	 the treatment of patients with metastatic non-small cell lung cancer 
(NSCLC) with BRAF V600E mutation as detected by an FDA-approved 
test. (1.3, 2.1) 
	 the treatment of patients with locally advanced or metastatic anaplastic 
thyroid cancer (ATC) with BRAF V600E mutation and with no 
satisfactory locoregional treatment options. (1.4, 2.1) 
-------------------------"
38,Melanoma,Somatic Variant,Encorafenib,"INDICATIONS AND USAGE-------------------------
BRAFTOVI is a kinase inhibitor indicated: 
 in combination with binimetinib, for the treatment of patients with 
unresectable or metastatic melanoma with a BRAF V600E or V600K 
mutation, as detected by an FDA-approved test. (1.1, 2.1)
 in combination with cetuximab, for the treatment of adult patients 
with metastatic colorectal cancer (CRC) with a BRAF V600E 
mutation, as detected by an FDA-approved test, after prior therapy. 
(1.2, 2.1)
 in combination with binimetinib, for the treatment of adult patients 
with metastatic non-small cell lung cancer (NSCLC) with a BRAF 
V600E mutation, as detected by an FDA-approved test. (1.3, 2.1)
Limitations of Use
BRAFTOVI is not indicated for treatment of patients with wild-type BRAF 
melanoma, wild-type BRAF CRC, or wild-type BRAF NSCLC. (1.4, 5.2)
---------------------"
41,Melanoma,Somatic Variant,Vemurafenib,"INDICATIONS AND USAGE---------------------------­
•	 ZELBORAF® is a kinase inhibitor indicated for the treatment of patients 
with unresectable or metastatic melanoma with BRAF V600E mutation as 
detected by an FDA-approved test. (1.1, 2.1) 
•	 ZELBORAF® is indicated for the treatment of patients with Erdheim-
Chester Disease with BRAF V600 mutation. (1.2, 2.1) 
Limitation of Use: ZELBORAF is not indicated for treatment of patients with 
wild-type BRAF melanoma (2.1, 5.2) 
-----------------------"
45,Ovarian Cancer,Somatic Variant,Rucaparib,"INDICATIONS AND USAGE---------------------------­
RUBRACA is a poly (ADP-ribose) polymerase (PARP) inhibitor indicated: 
Ovarian cancer 
•	 for the maintenance treatment of adult patients with recurrent epithelial 
ovarian, fallopian tube, or primary peritoneal cancer who are in a complete 
or partial response to platinum-based chemotherapy. (1.1) 
•	 for the treatment of adult patients with a deleterious BRCA mutation 
(germline and/or somatic)-associated epithelial ovarian, fallopian tube, or 
primary peritoneal cancer who have been treated with two or more 
chemotherapies. Select patients for therapy based on an FDA-approved 
companion diagnostic for RUBRACA. (1.1, 2.1) 
Prostate cancer 
•	 for the treatment of adult patients with a deleterious BRCA mutation 
(germline and/or somatic)-associated metastatic castration-resistant prostate 
cancer (mCRPC) who have been treated with androgen receptor-directed 
therapy and a taxane-based chemotherapy. Select patients for therapy based 
on an FDA-approved companion diagnostic for RUBRACA. (1.2, 2.1) 
This indication is approved under accelerated approval based on objective 
response rate and duration of response. Continued approval for this 
indication may be contingent upon verification and description of clinical 
benefit in confirmatory trials. (1.2) 
-----------------------"
48,Ovarian Cancer,Somatic Variant,Niraparib,"INDICATIONS AND USAGE 
ZEJULA is a poly(ADP-ribose) polymerase (PARP) inhibitor indicated: 
 for the maintenance treatment of adult patients with advanced 
epithelial ovarian, fallopian tube, or primary peritoneal cancer who 
are in a complete or partial response to first-line platinum-based 
chemotherapy. (1.1) 
 for the maintenance treatment of adult patients with recurrent 
epithelial ovarian, fallopian tube, or primary peritoneal cancer who 
are in a complete or partial response to platinum-based 
chemotherapy. (1.2) 
 for the treatment of adult patients with advanced ovarian, fallopian 
tube, or primary peritoneal cancer who have been treated with three 
or more prior chemotherapy regimens and whose cancer is 
associated with homologous recombination deficiency (HRD) 
positive status defined by either: 
	 a deleterious or suspected deleterious BRCA mutation, or 
	 genomic instability and who have progressed more than six 
months after response to the last platinum-based 
chemotherapy. 
Select patients for therapy based on an FDA-approved companion 
diagnostic for ZEJULA. (1.3, 2.1)"
72,Non-Small Cell Lung Cancer,Somatic Variant,Osimertinib,"INDICATIONS AND USAGE --------------------------
TAGRISSO is a kinase inhibitor indicated for: 
 adjuvant therapy after tumor resection in adult patients with non-small 
cell lung cancer (NSCLC) whose tumors have epidermal growth factor 
receptor (EGFR) exon 19 deletions or exon 21 L858R mutations, as 
detected by an FDA-approved test (1.1, 2.2) 
 the first-line treatment of adult patients with metastatic NSCLC whose 
tumors have EGFR exon 19 deletions or exon 21 L858R mutations, as 
detected by an FDA-approved test. (1.2, 2.2) 
 in combination with pemetrexed and platinum-based chemotherapy, the 
first-line treatment of adult patients with locally advanced or metastatic 
NSCLC whose tumors have EGFR exon 19 deletions or exon 21 L858R 
mutations, as detected by an FDA-approved test. (1.3, 2.2) 
 the treatment of adult patients with metastatic EGFR T790M mutation-
positive NSCLC, as detected by an FDA-approved test, whose disease has 
progressed on or after EGFR TKI therapy. (1.4, 2.2) 
----------------------"
73,Non-Small Cell Lung Cancer,Somatic Variant,Afatinib,"INDICATIONS AND USAGE--------------------------­
GILOTRIF is a kinase inhibitor indicated for: 
•	 First-line treatment of patients with metastatic non-small cell lung cancer 
(NSCLC) whose tumors have non-resistant epidermal growth factor 
receptor (EGFR) mutations as detected by an FDA-approved test (1.1) 
Limitations of Use: Safety and efficacy of GILOTRIF were not established 
in patients whose tumors have resistant EGFR mutations (1.1) 
•	 Treatment of patients with metastatic, squamous NSCLC progressing after 
platinum-based chemotherapy (1.2) 
----------------------"
78,Non-Small Cell Lung Cancer,Somatic Variant,Amivantamab-vmjw,"INDICATIONS AND USAGE---------------------------
RYBREVANT is a bispecific EGF receptor-directed and MET receptor-
directed antibody indicated: 
• in combination with carboplatin and pemetrexed for the first-line treatment 
of adult patients with locally advanced or metastatic non-small cell lung cancer 
(NSCLC) with epidermal growth factor receptor (EGFR) exon 20 insertion 
mutations, as detected by an FDA-approved test. (1, 2.2) 
• as a single agent for the treatment of adult patients with locally advanced or 
metastatic NSCLC with EGFR exon 20 insertion mutations, as detected by an 
FDA-approved test, whose disease has progressed on or after platinum-based 
chemotherapy. (1, 2.2) 
------------------------"
79,Non-Small Cell Lung Cancer,Somatic Variant,Mobocertinib,"INDICATIONS AND USAGE--------------------------­
EXKIVITY is a kinase inhibitor indicated for the treatment of adult 
patients with locally advanced or metastatic non-small cell lung cancer 
(NSCLC) with epidermal growth factor receptor (EGFR) exon 20 
insertion mutations, as detected by an FDA-approved test, whose 
disease has progressed on or after platinum-based chemotherapy. 
This indication is approved under accelerated approval based on 
overall response rate and duration of response. Continued approval for 
this indication may be contingent upon verification and description of 
clinical benefit in confirmatory trial(s). (1, 2.1) 
------------------------"
80,Follicular Lymphoma,Somatic Variant,Tazemetostat,"INDICATIONS AND USAGE -------------------------­
TAZVERIK is a methyltransferase inhibitor indicated for the treatment of: 
•	 Adults and pediatric patients aged 16 years and older with metastatic or 
locally advanced epithelioid sarcoma not eligible for complete resection. 
(1.1) 
•	 Adult patients with relapsed or refractory follicular lymphoma whose 
tumors are positive for an EZH2 mutation as detected by an 
FDA-approved test and who have received at least 2 prior systemic 
therapies. (1.2) 
•	 Adult patients with relapsed or refractory follicular lymphoma who have 
no satisfactory alternative treatment options. (1.2) 
These indications are approved under accelerated approval based on overall 
response rate and duration of response. Continued approval for these 
indications may be contingent upon verification and description of clinical 
benefit in a confirmatory trial(s). 
-----------------------"
90,Acute Myeloid Leukemia,Somatic Variant,Ivosidenib,"INDICATIONS AND USAGE------------------------------ 
TIBSOVO is an isocitrate dehydrogenase-1 (IDH1) inhibitor indicated for 
patients with a susceptible IDH1 mutation as detected by an FDA-approved test 
with: 
Newly Diagnosed Acute Myeloid Leukemia (AML) 
• In combination with azacitidine or as monotherapy for the treatment of newly 
diagnosed AML in adults 75 years or older, or who have comorbidities that 
preclude use of intensive induction chemotherapy (1.1).   
Relapsed or refractory AML  
• For the treatment of adult patients with relapsed or refractory AML (1.2). 
Relapsed or refractory Myelodysplastic Syndromes (MDS)  
• For the treatment of adult patients with relapsed or refractory 
myelodysplastic syndromes (1.3). 
Locally Advanced or Metastatic Cholangiocarcinoma 
• For the treatment of adult patients with locally advanced or metastatic 
cholangiocarcinoma who have been previously treated (1.4). 
-----------------------"
97,Acute Myeloid Leukemia,Somatic Variant,Enasidenib,"INDICATIONS AND USAGE----------------------------
IDHIFA is an isocitrate dehydrogenase-2 inhibitor indicated for the treatment 
of adult patients with relapsed or refractory acute myeloid leukemia (AML) 
with an isocitrate dehydrogenase-2 (IDH2) mutation as detected by an FDA-
approved test (1.1). 
-----------------------"
102,Gastrointestinal Stromal Tumor,Somatic Variant,Regorafenib,"INDICATIONS AND USAGE -------------------------­
STIVARGA is a kinase inhibitor indicated for the treatment of patients with: 
• Metastatic colorectal cancer (CRC) who have been previously treated with 
fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-
VEGF therapy, and, if RAS wild-type, an anti-EGFR therapy. (1.1) 
• Locally advanced, unresectable or metastatic gastrointestinal stromal tumor 
(GIST) who have been previously treated with imatinib mesylate and 
sunitinib malate. (1.2) 
• Hepatocellular carcinoma (HCC) who have been previously treated with 
sorafenib (1.3) 
----------------------"
106,Gastrointestinal Stromal Tumor,Somatic Variant,Sunitinib,"INDICATIONS AND USAGE---------------------------­
SUTENT is a kinase inhibitor indicated for: 
•	 treatment of adult patients with gastrointestinal stromal tumor (GIST) 
after disease progression on or intolerance to imatinib mesylate. (1.1) 
•	 treatment of adult patients with advanced renal cell carcinoma (RCC). 
(1.2) 
•	 adjuvant treatment of adult patients at high risk of recurrent RCC 
following nephrectomy. (1.3) 
•	 treatment of progressive, well-differentiated pancreatic neuroendocrine 
tumors (pNET) in adult patients with unresectable locally advanced or 
metastatic disease. (1.4) 
-----------------------"
109,Non-Small Cell Lung Cancer,Somatic Variant,Sotorasib,"INDICATIONS AND USAGE--------------------------­
LUMAKRAS is an inhibitor of the RAS GTPase family indicated for the 
treatment of adult patients with KRAS G12C-mutated locally advanced or 
metastatic non-small cell lung cancer (NSCLC), as determined by an 
FDA-approved test, who have received at least one prior systemic therapy. (1) 
This indication is approved under accelerated approval based on overall 
response rate (ORR) and duration of response (DOR). Continued approval for 
this indication may be contingent upon verification and description of clinical 
benefit in a confirmatory trial(s). (1) 
----------------------"
110,Non-Small Cell Lung Cancer,Somatic Variant,Capmatinib,"INDICATIONS AND USAGE 
TABRECTA is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose 
tumors have a mutation that leads to mesenchymal-epithelial transition (MET) exon 14 skipping as detected by an FDA-
approved test.   
2"
113,Gastrointestinal Stromal Tumor,Somatic Variant,Avapritinib,"INDICATIONS AND USAGE--------------------------­
AYVAKIT is a kinase inhibitor indicated for: 
Gastrointestinal Stromal Tumor (GIST) 
•	 the treatment of adults with unresectable or metastatic GIST 
harboring a platelet-derived growth factor receptor alpha 
(PDGFRA) exon 18 mutation, including PDGFRA D842V 
mutations. (1.1, 2.1) 
Advanced Systemic Mastocytosis (AdvSM) 
•	 the treatment of adult patients with AdvSM. AdvSM includes 
patients with aggressive systemic mastocytosis (ASM), systemic 
mastocytosis with an associated hematological neoplasm (SM­
AHN), and mast cell leukemia (MCL). (1.2) 
•	 Limitations of Use: AYVAKIT is not recommended for the 
treatment of patients with AdvSM with platelet counts of less than 
50 X 109/L (1.2) 
-----------------------"
115,Breast Cancer,Somatic Variant,Alpelisib,"INDICATIONS AND USAGE-------------------------­
PIQRAY is a kinase inhibitor indicated in combination with fulvestrant for the 
treatment of postmenopausal women, and men, with hormone receptor (HR)­
positive, human epidermal growth factor receptor 2 (HER2)-negative, 
PIK3CA-mutated, advanced or metastatic breast cancer as detected by an 
FDA-approved test following progression on or after an endocrine-based 
regimen. (1) 
----------------------"
