,prompt,cancer_category,cancer_type,biomarker,dataset,All_onlabel_groundtruth_therapies_cleaned__v2
19,"i have a patient with metastatic hr-negative, her2-low, pd-l1-negative, breast cancer with no germline brca mutation.  for second line, is t-dxd or sacituzumab govitecan preferred?",Breast,['breast cancer'],"['her2', 'hr', 'pd-l1', 'brca']",test,"[{'sacituzumab govitecan'}, {'trastuzumab deruxtecan'}]"
20,"if a bladder cancer patient has fgfr3 mutations, what would be the recommended next lines of treatment?",GU,['bladder cancer'],['fgfr3'],test,[{'erdafitinib'}]
21,what drug combination is approved for adults with kras g12c-mutated advanced colorectal cancer who have progressed on chemotherapy?,GI,['colorectal cancer'],['kras g12c'],validation,[{'cetuximab + adagrasib'}]
22,what therapy is recommended for patients with recurrent or advanced intrahepatic cholangiocarcinoma and fgfr2 fusion?,GI,['intrahepatic cholangiocarcinoma'],['fgfr2'],test,[{'futibatinib'}]
23,what drug is approved for for patients with grade 2 astrocytoma or oligodendroglioma with idh1 r132h mutation after surgical resection?,CNS,"['oligodendroglioma', 'grade 2 astrocytoma']",['idh1'],test,[{'vorasidenib'}]
24,"i have a patient with stage iii nsclc with an l858r mutation who was treated with chemoradiation and had a partial radiographic response. what are adjuvant therapy options? if there are multiple, what is the preferred option?",Lung,[],"['l858r', 'nsclc']",test,[{'osimertinib'}]
25,"i have a patient with cdk12 mutated metastatic castrate-resistant prostate cancer which has progressed on adt, abiraterone, and radium. are there any biomarker-directed therapies that he would be eligible for?",GU,['prostate cancer'],['cdk12'],validation,"[{'olaparib'}, {'talazoparib', 'enzalutamide'}]"
26,i have a patient with newly diagnosed resectable stage iib non-small cell lung adenocarcinoma with an egfr exon 19 deletion. what are the approved targeted therapies for this patient in the adjuvant setting?,Lung,['non-small cell lung adenocarcinoma'],['egfr'],test,"[{'osimertinib'}, {'chemotherapy', 'osimertinib'}]"
27,i have a patient who is newly diagnosed with metastatic cholangiocarcinoma. next-generation sequencing of the tumor shows a pathogenic fgfr2 rearrangement. is there a targeted therapy for this patient?,GI,"['tumor', 'cholangiocarcinoma']",['fgfr2'],test,"[{'pemigatinib'}, {'futibatinib'}]"
28,"i have a patient with metastatic hormone receptor-positive, her2-low (ihc 1+) breast cancer who progressed on 1st-line treatment with letrozole and ribociclib. circulating tumor dna analysis reveals a pathogenic deletion in pten. what are approved treatment options in the second-line setting?",Breast,"['tumor', 'breast cancer']","['her2', 'hormone receptor', 'ihc 1', 'pten']",test,"[{'fulvestrant', 'capivasertib'}, {'trastuzumab deruxtecan'}]"
29,i have a patient with newly diagnosed metastatic non-small cell lung cancer. tumor sequencing identifies a kras g12c mutation. what are the approved targeted treatment options for this patient?,Lung,['non-small cell lung cancer'],['kras g12c'],test,"[{'adagrasib'}, {'sotorasib'}]"
30,i have a patient who is newly diagnosed with metastatic melanoma and has a braf v600e mutation. what are the recommended first-line treatment options?,Skin,"['melanoma', 'metastatic']",['braf v600e'],test,"[{'binimetinib', 'encorafenib'}, {'trametinib', 'dabrafenib'}, {'cobimetinib', 'vemurafenib'}]"
31,56 year-old patient newly diagnosed with metastatic colorectal cancer with synchronous unresectable liver mets. genetic testing shows msi-h status. what are the recommended options for systemic therapy?,GI,['colorectal cancer'],['msi-h'],test,"[{'pembrolizumab'}, {'ipilimumab', 'nivolumab'}]"
32,"66 yo patient with previously resected clear-cell renal cell carcinoma, presents now with local unresectable recurrence. genetic testing is notable for vhl and pbrm1 mutations, as well as msi-h. what oprions are recommended for systemic treatment?",GU,['clear-cell renal cell carcinoma'],"['vhl', 'msi-h', 'pbrm1']",test,"[{'ipilimumab', 'nivolumab'}, {'cabozantinib', 'nivolumab'}, {'pembrolizumab', 'lenvatinib'}, {'axitinib', 'pembrolizumab'}, {'axitinib', 'avelumab'}]"
33,"70 yo patient with metastatic urothelial carcinoma, having progressed on enfortumab vedotin + pembrolizumab, then gemcitabine + cisplatine. repeat molecular testing reveals fgfr3 g370c mutations and her2 ihc 3+ status. what would you recommend for 3rd line therapy?",GU,['urothelial carcinoma'],"['her2 ihc 3', 'fgfr3', 'g370c']",test,"[{'erdafitinib'}, {'trastuzumab deruxtecan'}]"
34,73 yo patient with a new diagnosis of metastatic urothelial carcinoma. molecular testing reveals fgfr3 g370c mutations and her2 ihc 3+ status. what options would you recommend for systemic treatment?,GU,['urothelial carcinoma'],"['her2 ihc 3', 'fgfr3']",test,[{'enfortumab vedotin'}]
35,"67 yo patient presenting with a 7 cm renal mass which was surgically resected 2 months ago. pathology reveals a clear-cell renal cell carcinoma tumor, grade 2, confined to the kidney. genetic testing was done and was positive for vhl, bap1 and pten mutations. repeat scan is ned. what systemic treatment should this patient receive?",GU,"['renal mass', 'clear-cell renal cell carcinoma tumor']","['vhl', 'pten', 'bap1']",test,[]
36,i have a patient with metastatic bladder cancer who has progressed on chemotherapy. genomics testing revealed a focal amplification of the jak2/pd-l1 locus. what are the treatment options?,GU,['bladder cancer'],"['jak2', 'pd-l1']",validation,[]
37,my metastatic cutaneous melanoma patient has high tmb and a braf mutation. what should i do?,Skin,[],"['braf', 'tmb']",test,"[{'ipilimumab', 'nivolumab'}, {'cobimetinib', 'atezolizumab', 'vemurafenib'}, {'binimetinib', 'encorafenib'}, {'cobimetinib', 'vemurafenib'}, {'dabrafenib'}, {'trametinib', 'dabrafenib'}, {'trametinib'}, {'vemurafenib'}]"
38,my patient has newly diagnosed acute myeloid leukemia and a flt3 mutation. are there targeted therapy options that i should consider in this setting?,Hematologic,['acute myeloid leukemia'],['flt3'],test,"[{'anthracycline', 'quizartinib', 'cytarabine'}, {'midostaurin', 'daunorubicin', 'cytarabine'}, {'gilertinib'}]"
39,i have a patient with radioactive iodine referactory thyroid cancer. what is the first line option?,Endocrine,[],[],test,[{'lenvatinib'}]
40,my patient with newly diagnosed anaplastic thyroid cancer istage ivc s found to have a brafv600e positive tumor.  what is the best next step for systemic therapy?,Endocrine,"['tumor', 'anaplastic thyroid cancer']",['brafv600e'],test,[{'dabrafenib + trametinib'}]
41,"if a patient with radioactive iodine refractory thyroid cancer progresses on lenvatinib and the tumor has a ras mutation, what do i do?",Endocrine,"['thyroid cancer', 'tumor']",['ras'],test,[{'cabozantinib'}]
42,"if a patient with radioactive iodine refractory thyroid cancer progresses on lenvatinib and the tumor has a brafv600e mutation, what do i do?",Endocrine,"['thyroid cancer', 'tumor']",['brafv600e'],test,"[{'trametinib', 'dabrafenib'}, {'cabozantinib'}]"
43,"if a patient with progressive or metastatic medullary thyroid cancer needs systemic therapy and the tumor has a ret mutation, what is preferred first line treatment?",Endocrine,"['tumor', 'medullary thyroid cancer']",['ret'],validation,[{'selpercatinib'}]
44,"in a patient with follicular lymphoma with an activating ezh2 mutation, what treatment is indicated?",Hematologic,['follicular lymphoma'],['ezh2'],test,[{'tazemetostat'}]
45,"for a patient with osteosarcoma and myc amplification, what treatment is indicated?",Sarcoma,['osteosarcoma'],['myc'],test,"[{'methotrexate'}, {'doxorubicin'}, {'cisplatin'}]"
46,"for a patient with relapsed b-all that expresses cd22, what antibody-drug conjugates may be used?",Hematologic,[],['cd22'],test,[{'inotuzomab ozogamicin'}]
47,"for a patient with relapsed b-all that expresses cd19, what targeted treatment options exist?",Hematologic,[],['cd19'],validation,"[{'CAR-T cell therapy'}, {'blinatumomab'}]"
48,what targeted treatment options exist for patients with aml and flt3-itd?,Hematologic,[],"['aml', 'flt3']",test,[{'gilteritinib'}]
49,what targeted treatment option is available for patients with high-risk neuroblastoma and an activating alk mutation?,CNS,['high-risk neuroblastoma'],['alk'],test,[]
50,"for a patient with lung adenocarcinoma and a kras g12c mutation, what targeted treatments are approved and for what stage?",Lung,['lung adenocarcinoma'],['kras g12c'],validation,"[{'sotorasib'}, {'adagrasib'}]"
51,"a patient has metastatic non small cell lung cancer with an egfr exon 20 insertion, is there a targeted treatment for them?",Lung,['non small cell lung cancer'],['egfr'],test,"[{'pemetrexed', 'carboplatin', 'amivantamab'}, {'mobocertinib'}]"
52,are there specific therapies for patients with endometrial carcinoma and li fraumeni?,GYN,['endometrial carcinoma'],[],test,[]
53,can we target chek2 mutations for patients with metastatic breast carcinoma?,Breast,"['breast carcinoma', 'metastatic']",['chek2'],validation,[]
54,is there a first line targeted therapy for patients with lung cancer and a ros1 rearrangement?,Lung,['lung cancer'],['ros1'],test,"[{'crizotinib'}, {'entrectinib'}, {'repotrectinib'}, {'taletrectinib'}]"
55,what options are available for children with bard1 germline mutated neuroblastoma?,CNS,['neuroblastoma'],['bard1'],test,[]
56,what can target high grade wilms tumor with wt1 mutation,GU,['high grade wilms tumor'],['wt1'],validation,[]
57,are there any targeted thereapies available to prevent transformation of plexiform neurofibroma to malignant peripheral nerve sheath tumor in patients with neurofibromatosis type 1?,Sarcoma,"['peripheral nerve sheath tumor', 'plexiform neurofibroma', 'neurofibromatosis type 1', 'malignant']",[],test,[{'selumetanib'}]
58,what can i do for a patient with osteosarcoma secondary to li fraumeni syndrome?,Sarcoma,['osteosarcoma'],[],test,[{'talazoparib'}]
59,are there any targeted treatments for h3k27m diffuse midline glioma?,CNS,[],['h3k27m'],test,[]
60,"for patients with muscle-invasive bladder cancer, are there systemic treatment options prior to radical cystectomy?",GU,['muscle-invasive bladder cancer'],[],test,[{'cisplatin + durvalumab'}]
61,are there genomic alterations that predict response to neoadjuvant chemotherapy in muscle-invasive bladder cancer?,GU,['muscle-invasive bladder cancer'],[],test,[]
62,what is the first line systemic therapy for locally advanced or metastatic bladder cancer?,GU,"['locally advanced', 'bladder cancer', 'metastatic']",[],test,[{'enfortumab vedotin + pembrolizumab'}]
63,i have a patient with newly diagnosed aml that has mutations in tp53 and idh1. are there any therapies that i should be thinking about in this setting?,Hematologic,[],"['idh1', 'aml', 'tp53']",test,[{'ivosidenib'}]
64,my patient whas relapsed aml that includes an idh2 mutation. what is the correct treatment strategy based on this information?,Hematologic,[],['idh2'],test,[{'enasidenib'}]
65,i have a patient with metastatic cholangiocarcinoma and an fgfr2 fusion. this patient has already progressed on standard first-line treatments. are there any approved therapies i should consider?,GI,['cholangiocarcinoma'],['fgfr2'],validation,"[{'pemigatinib'}, {'futibatinib'}]"
66,"my advanced cholangiocarcinoma patient has progressed, but tumor molecular profiling shows evidence for an activating idh1 mutation. can this be targeted for this patient?",GI,"['tumor', 'cholangiocarcinoma']",['idh1'],test,[{'ivosidenib'}]
67,for a cll patient with del 17p are there targeted therapies i could consider?,Hematologic,[],[],test,[{'ibrutinib'}]
68,"for a patient with nut midline carcinoma and known brd4-nut fusion, is there a targeted therapy for their disease?",Other,['nut midline carcinoma'],"['brd4', 'nut']",test,[]
69,"for a patient with a bcor::ccnb3 fusion (bcs), is there a targeted therapy?",Unspecified,[],"['ccnb3', 'bcor', 'bcs']",test,[]
70,a patient has mismatch repair deficient colo-rectal carcinoma. should they receive nivolumab?,GI,['colo-rectal carcinoma'],[],test,[{'nivolumab'}]
71,"i have a post-menopausal female patient with metastatic er+pr+her2-low (ihc 1+) lobular breast cancer involving the bones, lymph nodes, and leptomeninges who was found to have metastatic disease 9 months after completing adjuvant letrozole plus lupron (ai + ofs). she has not received treatment yet in the metastatic setting. she was found to have a pik3ca mutation on ctdna. what are her first-line treatment options?",Breast,['lobular breast cancer'],"['her2', 'ctdna', 'pik3ca', 'er', 'pr', 'ihc 1']",test,"[{'fulvestrant', 'inavolisib', 'palbociclib'}, {'fulvestrant', 'abemaciclib'}, {'trastuzumab deruxtecan'}]"
72,i have a post-menopausal female patient who was diagnosed with stage 2 (pt2n1) er+her2-negative breast cancer with oncotype dx score 32 and a germline brca2 mutation. she received a lumpectomy and adjuvant radiation. what are the next steps in treatment?,Breast,"['breast cancer', 'lumpectomy']","['pt2n1', 'brca2', 'her2']",test,"[{'olaparib'}, {'fulvestrant', 'ribociclib'}, {'abemaciclib'}, {'abemaciclib', 'letrozole'}, {'abemaciclib', 'anastrozole'}, {'exemestane', 'abemaciclib'}]"
73,i have a male patient with de novo metastatic gastric adenocarcinoma that was her2 3+ and pd-l1 cps 10 on ihc of a liver biopsy. what is the first line of treatment?,GI,['gastric adenocarcinoma'],"['her2', 'pd-l1']",test,"[{'trastuzumab', 'pembrolizumab', 'cisplatin', 'fluorouracil'}, {'pembrolizumab', 'trastuzumab', 'capecitabine', 'oxaliplatin'}]"
74,i have a post-menopausal female patient with high grade serious ovarian carcinoma with peritoneal carcinomatosis who received surgical debulking/ cytoreduction surgery. she is found to have a germline brca1 mutation. she received first-line platinum chemotherapy. what are the approved drugs for maintenance therapy?,GYN,['high grade serious ovarian carcinoma'],['brca1'],test,"[{'olaparib'}, {'niratinib'}, {'bevacizumab', 'olaparib'}]"
75,"i have a male patient, never smoker, with de novo metastatic lung adenocarcinoma involving the cns. molecular testing reveals an alk rearrangement and pd-l1 tps 15%. what are the first-line treatment options?",Lung,['lung adenocarcinoma'],"['alk', 'pd-l1']",test,"[{'alectinib'}, {'brigatinib'}, {'lorlatinib'}, {'crizotinib'}]"
76,"i have a patient with metastatic ascending colon adenocarcinoma, that is kras and braf wt, what first line targeted therapy therapy options are there in addition to folfox or folfiri",GI,['ascending colon adenocarcinoma'],"['braf', 'kras']",test,[{'bevacizumab'}]
77,"i have a patient with metastatic descending colon adenocarcinoma, that is kras and braf wt, what first line targeted therapy therapy options are there in addition to folfox or folfiri",GI,[],"['braf', 'kras']",test,"[{'cetuximab'}, {'panitumumab'}, {'bevacizumab'}]"
78,"i have a patient with metastatic descending colon adenocarcinoma, that is kras wt and braf mutant, what targeted therapy therapy options are there in the first line setting",GI,[],"['braf', 'kras']",test,"[{'centuximab', 'encorafenib'}, {'bevacizumab'}]"
79,"i have a patient with metastatic descending colon adenocarcinoma, that is kras g12d mutant and braf wt, what first line targeted therapy therapy options are there in addition to folfox or folfiri",GI,['colon adenocarcinoma'],"['kras g12d', 'braf']",test,[{'bevacizumab'}]
80,"i have a patient with unresectable fgfr fusion cholangiocarcinoma, what targeted treatment options are available in the first line",GI,[],['fgfr'],test,[]
81,"i have a patient with unresectable idh1 mutant cholangiocarcinoma, what targeted treatment options are available in the first line",GI,['cholangiocarcinoma'],['idh1'],test,[]
82,"i have a patient with metastatic castration resistant prostate cancer and a fanca mutation, can i give them a parp inhibitor?",GU,"['prostate cancer', 'castration']","['parp', 'fanca']",test,[{'enzalutamide + talazoparib'}]
83,my patient with prostate cancer had genomic testing on their tumor and her2 amplification was detected. can i give them trastuzumab deruxtecan or another her2-targeted therapy?,GU,"['tumor', 'prostate cancer']",['her2'],test,[{'trastuzumab deruxtecan'}]
84,i have a patient with advanced kidney cancer and the primary tumor had a mutation in pbrm1. what is the treatment implication of this mutation,GU,"['tumor', 'primary', 'kidney cancer']",['pbrm1'],test,[]
85,my patient with platinum-refractory metastatic testicular cancer has a tp53 mutation. how should i treat them?,GU,"['testicular cancer', 'platinum']",['tp53'],test,[]
86,i have a patient with metastatic prostate cancer and an spop mutation. what is the best therapeutic option?,GU,['prostate cancer'],['spop'],test,[]
87,"my patient with her2+, metastatic or unresectable colorectal cancer has progressed after progression on both folfox and folfiri-based regimens. what treatment options are available?",GI,['colorectal cancer'],['her2'],test,[{'trastuzumab + tucatinib'}]
88,"my patient with her2+, metastatic or unresectable biliary tract cancer has progressed on a gemcitabine-based regimen. what treatment options are available?",GI,['biliary tract cancer'],['her2'],test,[{'zanidatamab'}]
89,my patient with metastatic or unresectable pancreatic adenocarcinoma has progressed on at least one line of chemotherapy and was found to have an nrg1 gene fusion via somatic tumor testing. what options are there for subsequent treatment?,GI,"['tumor', 'pancreatic adenocarcinoma']",['nrg1'],validation,[{'zenocutuzumab'}]
90,my patient with metastatic pancreatic cancer has a germline brca1 or brca2 mutation and has not had disease progression after at least 16 months of therapy. is there an option for maintenance therapy that can give my patient a break off chemotherapy?,GI,['pancreatic cancer'],"['brca2', 'brca1']",test,[{'olaparib'}]
91,my patient with metastatic or unresectable gastric or gastroesophageal junction adenocarcinoma has a pd-l1 cps (combined positive score) of at least 1 or greater and is her2+. what is the best first-line treatment option?,GI,"['gastroesophageal junction adenocarcinoma', 'gastric']",['pd-l1'],test,"[{'trastuzumab', 'pembrolizumab', 'cisplatin', 'fluorouracil'}, {'pembrolizumab', 'trastuzumab', 'capecitabine', 'oxaliplatin'}]"
92,what is the preferred targeted therapy for metastatic urothelial carcinoma with fgfr3 mutation after progression on ev+pembro or platinum-based chemotherapy?,GU,"['urothelial carcinoma', 'metastatic']",['fgfr3'],test,[{'erdafitinib  '}]
93,what is a targeted therapy that should be considered for the management of patients with refractory lymphoid neoplasms with fgfr1 rearrangement?,Hematologic,['lymphoid neoplasms'],['fgfr1'],test,[{'pemigatinib'}]
94,what is a targeted therapy that can be used for the management of patients with relapsed or refractory follicular lymphoma with ezh2 mutation?,Hematologic,['follicular lymphoma'],['ezh2'],test,[{'tazemetostat'}]
95,what is a targeted therapy that can be used for the treatment of relapsed/refractory systemic anaplastic large cell lymphoma that is alk positive?,Hematologic,[],['alk'],test,[{'crizotinib'}]
96,"what is a potential treatment in patients with hormone receptor-positive, her2-negative, pik3ca-mutated, advanced or metastatic breast cancer who have experienced disease progression on or after an endocrine-based regimen?a",Breast,['breast cancer'],"['her2', 'pik3ca', 'hormone']",test,[{'alpelisib + fulvestrant'}]
97,"what is an acceptable treatment in patients with estrogen receptor-positive, her2-negative, esr1-mutated advanced or metastatic breast cancer who have experienced disease progression following at least one line of endocrine therapy?",Breast,['breast cancer'],"['her2', 'estrogen receptor', 'esr1']",test,[{'elacestrant'}]
98,"what is an acceptable regimen in patients with metastatic her2-positive gastroesophageal junction adenocarcinoma, with cps >= 1?",GI,['gastroesophageal junction adenocarcinoma'],['her2'],test,"[{'trastuzumab', 'pembrolizumab', 'cisplatin', 'fluorouracil'}, {'pembrolizumab', 'trastuzumab', 'capecitabine', 'oxaliplatin'}]"
99,are there any genomically guided therapies that are fda approved for prostate cancer?,GU,['prostate cancer'],['fda'],test,"[{'olaparib'}, {'talazoparib', 'enzalutamide'}, {'niraparib', 'abiraterone acetate', 'prednisone'}, {'abiraterone acetate', 'olaparib', 'prednisolone'}, {'abiraterone acetate', 'olaparib', 'prednisone'}, {'rucaparib'}, {'talazoparib'}]"
100,which drugs are currently approved for the treatment of desmoid tumors?,Other,['desmoid tumors'],[],test,[{'nirogacestat'}]
101,what are the current options for the first-line treatment of metastatic or advanced clear-cell kidney cancer?,GU,['clear-cell kidney cancer'],[],test,"[{'cabozantinib', 'nivolumab'}, {'ipilimumab', 'nivolumab'}, {'pembrolizumab', 'lenvatinib'}, {'axitinib', 'pembrolizumab'}, {'axitinib', 'avelumab'}]"
